No.,Tag ID,Species,Gender,Cage No.,Length (cm),Comment
1,1001,Tilapia,Female,1,12.5,Need to observe
2,1002,Tilapia,Male,1,18.6,
3,1003,Catfish,Male,1,30.5,
4,1004,Tilapia,Female,1,19.6,Having disease
5,1005,Tilapia,Female,1,17.6,
6,1006,Catfish,Male,1,31.2,
7,1007,Catfish,Male,1,31.6,
8,1008,Catfish,Female,1,31.8,
9,1009,Tilapia,Male,1,15.6,
10,1010,Tilapia,Female,1,15.8,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
