Tag ID,Species,Gender,Cage No.,Length,Comment
1001,Tilapia,Female,1,12.5,Need to observe
1002,Tilapia,Male,1,18.6,-
1003,Catfish,Male,1,30.5,-
1004,Tilapia,Female,1,19.6,Having disease
1005,Tilapia,Female,1,17.6,-
1006,Catfish,Male,1,31.2,-
1007,Catfish,Male,1,31.6,-
1008,Catfish,Female,1,31.8,-
1009,Tilapia,Male,1,15.6,-
1010,Tilapia,Female,1,15.8,-
1011,Tilapia,Male,1,16.7,-
1012,Catfish,Male,1,30.8,-
1013,Tilapia,Female,1,17.1,-
1014,Catfish,Male,1,29.9,-
1015,Catfish,Female,1,30.8,-
1016,Tilapia,16.8,Male,1,-
1017,Tilapia,18.8,Male,1,-
1018,Tilapia,16.8,Male,1,-
1019,Tilapia,17.5,Male,1,-
